ad_account_id_1,ad_amount_1,ad_create_role_num_1,ad_new_role_money_1,ad_pay_role_user_num_1,ad_source_num_1,ad_valid_source_num_1,model_run_datetime_1,data_win_1
4884,89023.18,3814,31496,73,14,10,2020/1/25,1
5101,86927.21,3134,14850,90,12,8,2020/1/25,1
5105,178232.27,4210,26344,117,9,7,2020/1/25,1
5110,6159.12,69,110,2,2,0,2020/1/25,1
5134,64596.37,1261,7752,50,3,3,2020/1/25,1
5138,273.9,7,0,0,1,0,2020/1/25,1
5248,7397.72,40,0,0,10,0,2020/1/25,1
5249,10715.15,87,2060,4,4,1,2020/1/25,1
5264,1831.34,16,0,0,2,0,2020/1/25,1
5265,23546.62,1155,246,8,13,4,2020/1/25,1
5344,16960.01,644,144,4,8,2,2020/1/25,1
5347,9599.5,78,30,1,3,1,2020/1/25,1
5349,74966.1,1330,4492,36,8,5,2020/1/25,1
5350,176.4,2,0,0,1,0,2020/1/25,1
5351,10402.48,154,5996,4,4,1,2020/1/25,1
5352,4904.18,57,0,0,4,0,2020/1/25,1
5357,354.98,7,0,0,1,0,2020/1/25,1
4003,3758.85,317,482,5,2,2,2020/1/26,1
4688,243101.44,6888,22252,189,10,9,2020/1/26,1
4691,36899.44,452,884,22,3,1,2020/1/26,1
4692,83359.41,3056,9900,86,14,9,2020/1/26,1
4728,17306.91,606,1784,14,6,3,2020/1/26,1
4800,36284.8,1075,2684,19,6,5,2020/1/26,1
4884,87300.01,3020,5424,70,14,9,2020/1/26,1
5101,67642.03,2498,7328,51,13,9,2020/1/26,1
5105,123422.91,3052,15100,96,6,5,2020/1/26,1
5134,44552.49,794,2458,22,3,3,2020/1/26,1
5248,12540.21,77,36,3,10,1,2020/1/26,1
5249,15318.23,140,3336,6,4,1,2020/1/26,1
5265,34482.05,1675,2442,27,12,4,2020/1/26,1
5344,28283.75,1493,2878,15,7,6,2020/1/26,1
5347,13711.08,138,60,2,3,1,2020/1/26,1
5349,98746.23,2025,10156,88,7,6,2020/1/26,1
5350,3842.4,145,24,2,1,1,2020/1/26,1
5352,6230.04,75,128,1,6,1,2020/1/26,1
5264,4386.33,36,0,0,2,0,2020/1/26,1
5351,3752.57,73,42,1,2,0,2020/1/26,1
5357,445.01,6,0,0,1,0,2020/1/26,1
4003,42931.91,3217,1914,19,7,5,2020/1/27,1
4688,285733.49,9376,33212,204,12,11,2020/1/27,1
4691,36269.71,422,7324,25,3,1,2020/1/27,1
4692,48700.07,1912,8168,39,14,8,2020/1/27,1
4728,18752.63,579,2996,18,6,3,2020/1/27,1
4800,26037.19,512,11800,28,3,3,2020/1/27,1
4884,42992.61,1436,5794,26,10,6,2020/1/27,1
5101,82561.91,2691,10278,56,20,14,2020/1/27,1
