ad_account_id,ad_amount,ad_create_role_num,ad_new_role_money,ad_pay_role_user_num,ad_source_num,ad_valid_source_num,model_run_datetime,data_win
5352,6078.9,64.0,0.0,0.0,6,0,2020-01-22,1
5357,1939.0,107.0,12.0,1.0,3,1,2020-01-22,1
4003,17439.58,1494.0,506.0,4.0,7,2,2020-01-23,1
4688,196607.74,7374.0,29920.0,167.0,7,6,2020-01-23,1
4691,43493.36,465.0,1980.0,21.0,8,3,2020-01-23,1
4692,62970.4,2628.0,5304.0,54.0,15,8,2020-01-23,1
4728,13983.01,1270.0,548.0,8.0,7,3,2020-01-23,1
4800,55541.55,1500.0,19912.0,48.0,11,5,2020-01-23,1
4884,68267.16,3449.0,4008.0,44.0,14,9,2020-01-23,1
5101,49369.21,1776.0,9124.0,44.0,11,7,2020-01-23,1
5105,30277.63,1245.0,9944.0,30.0,2,2,2020-01-23,1
5110,26691.77,300.0,2444.0,16.0,2,2,2020-01-23,1
5134,80364.0,1584.0,8040.0,61.0,4,2,2020-01-23,1
5138,9004.57,136.0,160.0,2.0,3,1,2020-01-23,1
5248,4990.61,30.0,0.0,0.0,10,0,2020-01-23,1
5249,8665.51,118.0,1180.0,10.0,6,2,2020-01-23,1
5264,2476.64,31.0,776.0,2.0,3,1,2020-01-23,1
